"ds_id","acquisition_rank","provider","provider_dataset_id","canonical_provider_dataset_id","provider_version","source_role","request_method","request_url","request_parameters_sha256","retrieved_utc","raw_relative_path","filename","size_bytes","checksum_sha256","content_type","file_validation_state","license_state","license_evidence","redistribution_state","citation","doi_or_stable_url","manifest_status","status_detail"
"DS02",3,"Rijkswaterstaat (RWS)","RWS:Waterinfo AquaDesk bulk download","RWS:Waterinfo AquaDesk bulk download","Waterinfo AquaDesk bulk download manual export received 2026-08-09","canonical_provider","MANUAL_BROWSER_EXPORT","https://waterinfo.rws.nl/nav/bulkdownload","b0fd2477a34cfb22a4002bac9592123096ce441c77120bc66d617130cd45f3e2","2026-08-09T09:17:51Z","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_1.csv","RWSNL_Observations_FYTPT_DIATM_1.csv",32034620,"8cbd8caa3f10f134776bbdbede356c4ce5a543f0021584cfc83bfd11f8e8ec72","text/csv; delimiter=semicolon; encoding=ASCII","verified","open","Official RWS WaterWebservices documentation states that service contents are CC0; the official phytoplankton page identifies Waterinfo as a provider route.","allowed","Rijkswaterstaat. Waterinfo AquaDesk phytoplankton observations, manual bulk export. Downloaded 2026-08-09.","https://waterinfo-extra.rws.nl/monitoring/biologie/fytoplankton/","verified","Unmodified provider-export part registered by scripted intake; local file modification time is recorded as retrieved_utc because the manual portal did not deliver a machine-readable request receipt."
"DS02",3,"Rijkswaterstaat (RWS)","RWS:Waterinfo AquaDesk bulk download","RWS:Waterinfo AquaDesk bulk download","Waterinfo AquaDesk bulk download manual export received 2026-08-09","canonical_provider","MANUAL_BROWSER_EXPORT","https://waterinfo.rws.nl/nav/bulkdownload","b0fd2477a34cfb22a4002bac9592123096ce441c77120bc66d617130cd45f3e2","2026-08-09T09:17:47Z","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","RWSNL_Observations_FYTPT_DIATM_2.csv",9255804,"cb5af98c969419464f8fb91ab2d20c2dc1835a19702cdbb6bb844ecdcb515f9c","text/csv; delimiter=semicolon; encoding=ASCII","verified","open","Official RWS WaterWebservices documentation states that service contents are CC0; the official phytoplankton page identifies Waterinfo as a provider route.","allowed","Rijkswaterstaat. Waterinfo AquaDesk phytoplankton observations, manual bulk export. Downloaded 2026-08-09.","https://waterinfo-extra.rws.nl/monitoring/biologie/fytoplankton/","verified","Unmodified provider-export part registered by scripted intake; local file modification time is recorded as retrieved_utc because the manual portal did not deliver a machine-readable request receipt."
"DS02",3,"Rijkswaterstaat (RWS)","RWS:Waterinfo AquaDesk bulk download","RWS:Waterinfo AquaDesk bulk download","Waterinfo AquaDesk bulk download manual export received 2026-08-09","canonical_provider","MANUAL_BROWSER_EXPORT","https://waterinfo.rws.nl/nav/bulkdownload","b0fd2477a34cfb22a4002bac9592123096ce441c77120bc66d617130cd45f3e2","2026-08-09T09:17:45Z","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","RWSNL_Observations_FYTPT_DIATM_3.csv",7259381,"d7fc1cefb887250bdbed9d3a5e06d58ba0430006646a587b1b9eee76c4466142","text/csv; delimiter=semicolon; encoding=ASCII","verified","open","Official RWS WaterWebservices documentation states that service contents are CC0; the official phytoplankton page identifies Waterinfo as a provider route.","allowed","Rijkswaterstaat. Waterinfo AquaDesk phytoplankton observations, manual bulk export. Downloaded 2026-08-09.","https://waterinfo-extra.rws.nl/monitoring/biologie/fytoplankton/","verified","Unmodified provider-export part registered by scripted intake; local file modification time is recorded as retrieved_utc because the manual portal did not deliver a machine-readable request receipt."
"DS02",3,"Rijkswaterstaat (RWS)","RWS:Waterinfo AquaDesk bulk download","RWS:Waterinfo AquaDesk bulk download","Waterinfo AquaDesk bulk download manual export received 2026-08-09","canonical_provider","MANUAL_BROWSER_EXPORT","https://waterinfo.rws.nl/nav/bulkdownload","b0fd2477a34cfb22a4002bac9592123096ce441c77120bc66d617130cd45f3e2","2026-08-09T09:17:44Z","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_4.csv","RWSNL_Observations_FYTPT_DIATM_4.csv",28383275,"978d8986803d57284dfef0485ae2b451f3d7b127ed5edd8dc4d4eaff512c4e15","text/csv; delimiter=semicolon; encoding=ASCII","verified","open","Official RWS WaterWebservices documentation states that service contents are CC0; the official phytoplankton page identifies Waterinfo as a provider route.","allowed","Rijkswaterstaat. Waterinfo AquaDesk phytoplankton observations, manual bulk export. Downloaded 2026-08-09.","https://waterinfo-extra.rws.nl/monitoring/biologie/fytoplankton/","verified","Unmodified provider-export part registered by scripted intake; local file modification time is recorded as retrieved_utc because the manual portal did not deliver a machine-readable request receipt."
