"raw_relative_path","table_name","column_name","storage_type","reported_unit","semantic_role","missing_value_codes","quality_flag_meaning","example_values","inventory_state"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Taxon type","character","","taxon","blank","","FYTPT|DIATM","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Taxon groep","character","","taxon","blank","","DINOF|ARAPH|HITAX","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Taxon naam","character","","taxon","blank","","","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Aantal","character","","measurement","blank","","","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Waarde","character","N/L|N/ML|PROCENT","measurement","blank","","83,000000|2171,000000|3125,000000","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Eenheid","character","","measurement","blank","","N/L|PROCENT|N/ML","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Collectie commentaar","character","","provenance_or_context","blank","","Pc513|Pc505|Pc520","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","LengthClass","character","","method","blank","","FL-1-2um|FL-gd5um|FL-kd10um","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","MeasurementPackage","character","","method","blank","","FP.AC|DT.AB","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Capacity","character","","method","blank","","cel|wn","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","SamplingMethod","character","","method","blank","","FYTPT_S521|DIATM_S001|FYTPT_S001","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Supplier","character","","method","blank","","RWS","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","AnalysisMethod","character","","method","blank","","FYTPT_A521|DIATM_A001|DIATM_A002","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","LifeForm","character","","taxon_context","blank","","LV-CEL|LV-KOL|EB-F","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Appearance","character","","taxon_context","blank","","VV-N","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","LifeStage","character","","taxon_context","blank","","LS-FL|LS-PH|LS-AD","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","Purpose","character","","method","blank","","MT","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv","Waterinfo_Export","AnalysisPackage","character","","method","blank","","FP.AB","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Datum","character","","datetime","blank","","07-05-2002 10:00:00 +00:00|04-07-2002 16:45:00 +00:00|04-09-2002 10:00:00 +00:00","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Meetobject","character","","identifier","blank","","EEMMDK23|PAMPHVN|KETMWT","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Organisatie","character","","identifier","blank","","RWS","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Parameter","character","","measurement","blank","","Fragilaria rumpens|Fragilaria perminuta|Gomphonema parvulum","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Meetpakket","character","","method","blank","","DT.AB|FP.AC|FP.AI","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Compartiment","character","","measurement","blank","","OW|KS","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Grootheid","character","","measurement","blank","","AANTFTE|AANTPVLME","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Taxon type","character","","taxon","blank","","DIATM|FYTPT","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Taxon groep","character","","taxon","blank","","ARAPH|RAPHI|RADIA","present"
"stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv","Waterinfo_Export","Taxon naam","character","","taxon","blank","","","present"
