"output_file","output_checksum_sha256","source_run_id","source_manifest_checksum_sha256","source_feature_checksums_sha256","derivation_script_checksum_sha256","spatial_source_config_checksum_sha256","protocol_config_checksum_sha256","source_access_time_utc","row_count","crs_epsg"
"config/spatial/greater_north_sea.geojson","100d3aed06392f9b6956d91bc8484c868d2febf803306c9a9187f6f003890602","SPATIAL-ICES-20260807T174114Z","6aafa68e92c980aa306a9c9abe0d0ea9d0aba4f36bd994f6f4c6df9545b7e5bb","6dacd9719c6bfc8c1b5c68e49ba8d62e72032138bd7ed742ec9c7b495910faf4|7c255b8264ba6dd0849f4a749c6f30f6c7456674f69e5b1b6be26eb4eba2fa28","c03ce13576f996ef1fdf049b6c430f7b38939ff168c5658df47b94a39bc4cdf3","187024bbed5902c863fba1491f43dd0bba612b8155c9740ceec42c07fe2a19ca","1048fb9e44c6ba1805cd04dda7e9737e2d06a2c53dfd9d1da4664d15ae105f7a","20260807T174114Z",1,4326
"config/spatial/hydrographic_subregions.geojson","d8864a7bc92233a9889fc702119f6db703d4843ceffd2364b92d92a688f3ea25","SPATIAL-ICES-20260807T174114Z","6aafa68e92c980aa306a9c9abe0d0ea9d0aba4f36bd994f6f4c6df9545b7e5bb","6dacd9719c6bfc8c1b5c68e49ba8d62e72032138bd7ed742ec9c7b495910faf4|7c255b8264ba6dd0849f4a749c6f30f6c7456674f69e5b1b6be26eb4eba2fa28","c03ce13576f996ef1fdf049b6c430f7b38939ff168c5658df47b94a39bc4cdf3","187024bbed5902c863fba1491f43dd0bba612b8155c9740ceec42c07fe2a19ca","1048fb9e44c6ba1805cd04dda7e9737e2d06a2c53dfd9d1da4664d15ae105f7a","20260807T174114Z",2,4326
