"artifact_role","path","row_count","checksum_sha256","generated_from_manifest_sha256"
"variable_inventory","metadata/stage2_ds06_smhi_shark_variable_inventory.csv",21390,"d0386b039e6415a5a2b2cd7915ab6736ec33eed618ecc28a25bb39e1033b4b42","e7c8aeec0f286616dd9080ae7d7be7fb5728f36185209bdd298a3787b2506535"
"package_summary","metadata/stage2_ds06_smhi_shark_package_summary.csv",219,"c7b2a8fbd6a1478ffce8c80c6ce28b0c25bf47c7294085123851febc90130470","e7c8aeec0f286616dd9080ae7d7be7fb5728f36185209bdd298a3787b2506535"
"record_screening","data/interim/stage2_ds06_smhi_shark_record_screening.csv",909693,"717af33a0d4db5505f920580d8fc8d1f3c389a060eee4405901d786618bce69c","e7c8aeec0f286616dd9080ae7d7be7fb5728f36185209bdd298a3787b2506535"
"duplicate_identity","data/interim/stage2_ds06_smhi_shark_duplicate_identity.csv",909693,"08e7cf6c2c319c13259cede7e76efcb7f27b57925789f55478c688bcab39e4c9","e7c8aeec0f286616dd9080ae7d7be7fb5728f36185209bdd298a3787b2506535"
