"benchmark_id","description","pattern","found","matched_source","matched_provider_dataset_id","raw_response_path","raw_response_checksum_sha256"
"DS02","RWS phytoplankton","66f557fe4103f",TRUE,"PLET","RWS_Fpzout_2000-2019_phyto","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS04","BSH phytoplankton","66f41f3f2a72e",TRUE,"PLET","BSH_Phyto_Zoo","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS05","NOVANA phytoplankton","66f42801afddd",TRUE,"PLET","NOVANA phytoplankton","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS06","SMHI Kattegat/Skagerrak","10.17031/1633",TRUE,"PLET","National data_SMHI_Kattegat-Dnr: S/Gbg-2021_116/BVOL_phyto","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS07","Cefas SmartBuoy","CefasDataHub.58",TRUE,"PLET","Cefas SmartBuoy Marine Observational Network - UK Waters Phytoplankton Data 2001-2019","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS08","Helgoland Roads","PANGAEA.960407",TRUE,"PANGAEA","862911","search_runs/SEARCH-PANGAEA-20260808T105207Z/response_page_0001.json","583eb8a0984a6b234bde5f4abdde6c397a76fd0c5a4313bd09378aae4ef21360"
"DS10","VLIZ LifeWatch FlowCam","956d618f-91dc-4930-a253-cdf80ddb9371|10.14284/760",TRUE,"OBIS","956d618f-91dc-4930-a253-cdf80ddb9371","search_runs/SEARCH-OBIS-20260808T105125Z/taxon_02.json","8a9c2e7a076f2a40cc2fbb143b94df3c9b9973e2bf99f81d32c90a73b0a41144"
"DS16","Stonehaven Observatory","Stonehaven",TRUE,"PLET","MSS Stonehaven Chlorophyll data","search_runs/SEARCH-PLET-20260808T105059Z/catalogue.html","369b7ab7a475c4c25a18149e8a4e3e35138b0ad8ef49007eeda23b89f9b4a616"
"DS24","OSPAR COMPEAT inputs","22189111",TRUE,"ICES Figshare","22189111","search_runs/SEARCH-FIGSHARE-20260808T105248Z/ds24_article.json","515469c88821235e6e036d8b8c4fbbda741719215d60bc984ed029f47c689707"
