"location_id","location_code","location_name","location_description","reported_crs","reported_latitude","reported_longitude","longitude","latitude","domain_state","subregion_id"
17673,"hellevoetsluis.schenkeldijk.badstrand","Hellevoetsluis, Schenkeldijk, badstrand","Hellevoetsluis, Schenkeldijk, badstrand","ETRS89",51.829859,4.093135,4.093135,51.829859,"outside_domain",
11593,"hellevoetsluis.vuurtorengroot.badstrand","Hellevoetsluis, Vuurtoren Groot, badstrand","Hellevoetsluis, Vuurtoren Groot, badstrand","ETRS89",51.82151,4.124693,4.124693,51.82151,"outside_domain",
15438,"helmond.aflaat","Helmond RWZI aflaatwerk","Helmond RWZI aflaatwerk","ETRS89",51.499525,5.674439,5.674439,51.499525,"outside_domain",
6887,"helmond.aflaat.boven","Helmond, aflaat, boven","voorheen waterzuivering","ETRS89",51.499374,5.673257,5.673257,51.499374,"outside_domain",
7416,"helmond.devries","Helmond, De Vries","AA26","ETRS89",51.487541,5.652061,5.652061,51.487541,"outside_domain",
3388,"helmond.ehkgoorloop.pomp","Helmond, EHK-Goorloop, pomp","AA23B","ETRS89",51.456646,5.656389,5.656389,51.456646,"outside_domain",
94,"helmond.guldenaa","Helmond, Gulden Aa","Helmond, Gulden Aa","ETRS89",51.490731,5.6522,5.6522,51.490731,"outside_domain",
808,"helmond.guldenaa.a","Helmond, Gulden Aa, A","Helmond, Gulden Aa, A","ETRS89",51.490731,5.652203,5.652203,51.490731,"outside_domain",
7496,"helmond.guldenaa.b","Helmond, Gulden Aa, B","Helmond, Gulden Aa, B","ETRS89",51.490731,5.652206,5.652206,51.490731,"outside_domain",
15648,"helmond.scheepstal","Helmond stuw Scheepstal inlaat","Helmond stuw Scheepstal inlaat","ETRS89",51.498736,5.684486,5.684486,51.498736,"outside_domain",
30,"helmond.schotenseloop","Helmond, Schotense Loop","Helmond, Schotense Loop","ETRS89",51.448431,5.607669,5.607669,51.448431,"outside_domain",
1786,"helmond.sluis7","Helmond ZuidWillemsvaart Sluis 7","Helmond ZuidWillemsvaart Sluis 7","ETRS89",51.496306,5.652271,5.652271,51.496306,"outside_domain",
14290,"helmond.sluis9.inlaat","Helmond, Sluis 9, inlaat","Spuien","ETRS89",51.447633,5.684497,5.684497,51.447633,"outside_domain",
561,"helmond.sluis9.uitlaat","Helmond, Sluis 9, uitlaat","NettobalansUIT","ETRS89",51.447636,5.684497,5.684497,51.447636,"outside_domain",
5517,"helmond.sluis.aflaat1","Helmond, sluis, aflaat 1","voorheen Vossebeemd","ETRS89",51.46883,5.69194,5.69194,51.46883,"outside_domain",
12182,"helmond.sluis.boven","Helmond, sluis, boven","Helmond, sluis, boven","ETRS89",51.44851,5.693609,5.693609,51.44851,"outside_domain",
2831,"helmond.spaarpand","Helmond, spaarpand","Helmond, spaarpand","ETRS89",51.512634,5.661485,5.661485,51.512634,"outside_domain",
13813,"helmond.traverse.sluis7","Helmond, traverse, sluis 7","Helmond, traverse, sluis 7","ETRS89",51.496026,5.652168,5.652168,51.496026,"outside_domain",
5874,"helmond.treverse.sluis9","Helmond, treverse, sluis 9","Helmond, treverse, sluis 9","ETRS89",51.447782,5.426041,5.426041,51.447782,"outside_domain",
9448,"helmond.zuidwillemsvaart","Helmond, Zuid-Willemsvaart","De Vries","ETRS89",51.486981,5.652061,5.652061,51.486981,"outside_domain",
6894,"helmond.zuidwillemsvaart.inlaatnieuweaa","Helmond, Zuid-Willemsvaart, inlaat Nieuwe Aa","nettobalansuit","ETRS89",51.465297,5.693592,5.693592,51.465297,"outside_domain",
8908,"helmond.zuidwillemsvaart.inlaatnieuweaa.kleplinks","Helmond, Zuid-Willemsvaart, inlaat Nieuwe Aa, klep links","Helmond, Zuid-Willemsvaart, inlaat Nieuwe Aa, klep links","ETRS89",51.465303,5.693592,5.693592,51.465303,"outside_domain",
10999,"helmond.zuidwillemsvaart.inlaatnieuweaa.kleprechts","Helmond, Zuid-Willemsvaart, inlaat Nieuwe Aa, klep rechts","Helmond, Zuid-Willemsvaart, inlaat Nieuwe Aa, klep rechts","ETRS89",51.4653,5.693592,5.693592,51.4653,"outside_domain",
15159,"helmond.zuidwillemsvaart.inlaatnieuweaa.uitlaat","Helmond, Zuid-Willemsvaart, inlaat Nieuwe Aa, uitlaat","spuien","ETRS89",51.465308,5.693592,5.693592,51.465308,"outside_domain",
13653,"helmond.zuidwillemsvaart.instroomaa","Helmond, Zuid-Willemsvaart, instroom Aa","Helmond, Zuid-Willemsvaart, instroom Aa","ETRS89",51.499622,5.674581,5.674581,51.499622,"outside_domain",
13530,"helsdeur","Helsdeur","Helsdeur","ETRS89",52.96232,4.750229,4.750229,52.96232,"outside_domain",
13203,"hemelrijksewaard.dagstrand","Hemelrijkse Waard, dagstrand","Hemelrijkse Waard, dagstrand","ETRS89",51.799553,5.481898,5.481898,51.799553,"outside_domain",
5521,"hengelo.gemaal.pomp1","Hengelo, gemaal, pomp 1","zuid","ETRS89",52.245611,6.804081,6.804081,52.245611,"outside_domain",
11536,"hengelo.gemaal.pomp2","Hengelo, gemaal, pomp 2","midden","ETRS89",52.245647,6.804083,6.804083,52.245647,"outside_domain",
15247,"hengelo.gemaal.pomp3","Hengelo, gemaal, pomp 3","noord","ETRS89",52.245683,6.804098,6.804098,52.245683,"outside_domain",
13113,"hengelo.koppelleiding","Hengelo, Koppelleiding","Hengelo, Koppelleiding","ETRS89",52.246826,6.801732,6.801732,52.246826,"outside_domain",
2591,"hengelo.oelerbrug","Hengelo, Oelerbrug","km 42.6","ETRS89",52.25037,6.76734,6.76734,52.25037,"outside_domain",
9686,"hengelo.sluis.aflaat1.boven.deur1","Hengelo, sluis, aflaat 1, boven, deur 1","hefdeur","ETRS89",52.245959,6.805821,6.805821,52.245959,"outside_domain",
14850,"hengelo.sluis.beneden","Hengelo, sluis, beneden","Hengelo, sluis, beneden","ETRS89",52.2464,6.802,6.802,52.2464,"outside_domain",
8685,"hengelo.sluis.beneden.deur1","Hengelo, sluis, beneden, deur 1","roldeur, zuid","ETRS89",52.246146,6.803718,6.803718,52.246146,"outside_domain",
13149,"hengelo.sluis.beneden.deur2","Hengelo, sluis, beneden, deur 2","roldeur, noord","ETRS89",52.246236,6.803735,6.803735,52.246236,"outside_domain",
1838,"hengelo.sluis.boven","Hengelo, sluis, boven","Hengelo, sluis, boven","ETRS89",52.2459,6.8064,6.8064,52.2459,"outside_domain",
6264,"herenlaak","Maaseik Herenlaak","km 57,00","ETRS89",51.101167,5.81875,5.81875,51.101167,"outside_domain",
7893,"heringsplaat.noordoost","Heringsplaat, noordoost","Heringsplaat, noordoost","ETRS89",53.299895,7.157349,7.157349,53.299895,"core","southern_and_central_north_sea"
16798,"herkingen","Herkingen","Herkingen","ETRS89",51.690479,4.089169,4.089169,51.690479,"core","southern_and_central_north_sea"
7133,"herkingenbadstrand","Herkingen badstrand","Herkingen badstrand","ETRS89",51.707915,4.08071,4.08071,51.707915,"outside_domain",
6030,"herwijnen","Herwijnen","Herwijnen","ETRS89",51.826765,5.104771,5.104771,51.826765,"outside_domain",
3052,"heteren.heterschewaarden","Hetersche Waarden","Hetersche Waarden","ETRS89",51.96302,5.74784,5.74784,51.96302,"outside_domain",
7723,"hetwild.raai212","Het Wild, raai 212","recreatieplas","ETRS89",51.768226,5.352433,5.352433,51.768226,"outside_domain",
13036,"hetzwinduinlaanbadstrand","het Zwin Duinlaan badstrand","het Zwin Duinlaan badstrand","ETRS89",51.373156,3.370986,3.370986,51.373156,"outside_domain",
18755,"heusden","Heusden","Heusden","ETRS89",51.735688,5.133425,5.133425,51.735688,"outside_domain",
16287,"heusden.bernseveer","Heusden, Bernse Veer","Heusden, Bernse Veer","ETRS89",51.743865,5.163192,5.163192,51.743865,"outside_domain",
11099,"hierdensebeek.monding","Hierdensebeek, monding","Hierdensebeek, monding","ETRS89",52.376818,5.679345,5.679345,52.376818,"outside_domain",
1185,"hindeloopen","Hindeloopen","Hindeloopen","ETRS89",52.9703,5.345528,5.345528,52.9703,"core","southern_and_central_north_sea"
965,"hindeloopen.badpaviljoenhindeloopen","Hindeloopen, Badpaviljoen Hindeloopen","Hindeloopen, Badpaviljoen Hindeloopen","ETRS89",52.933444,5.403328,5.403328,52.933444,"outside_domain",
6481,"hindeloopen.parkeerplaats","Hindeloopen, parkeerplaats","Hindeloopen, parkeerplaats","ETRS89",52.942899,5.396132,5.396132,52.942899,"outside_domain",
16208,"hitsertsekade.badstrand","Hitsertse kade, badstrand","Hitsertse kade, badstrand","ETRS89",51.736514,4.368333,4.368333,51.736514,"outside_domain",
18762,"hoedekenskerke","Hoedekenskerke","Hoedekenskerke","ETRS89",51.418648,3.916187,3.916187,51.418648,"outside_domain",
17196,"hoedekenskerke.boei4","Hoedekenskerke, boei 4","Hoedekenskerke, boei 4","ETRS89",51.425087,3.920581,3.920581,51.425087,"outside_domain",
7088,"hoek.braakmanhaven.buiten","Hoek Braakmanhaven buiten","Hoek Braakmanhaven buiten","ETRS89",51.34889,3.73167,3.73167,51.34889,"core","southern_and_central_north_sea"
15832,"hoekvanbaarlandboei29","Hoek van Baarland boei 29","Hoek van Baarland boei 29","ETRS89",51.378961,3.91287,3.91287,51.378961,"core","southern_and_central_north_sea"
1319,"hoekvanholland","Hoek van Holland","rechter oever kilometer 1030.1","ETRS89",51.976899,4.119827,4.119827,51.976899,"outside_domain",
16081,"hoekvanholland.badstrand","Hoek van Holland, badstrand","meteo","ETRS89",51.986252,4.097826,4.097826,51.986252,"outside_domain",
8792,"hoekvanholland.benoordendenoorderdam","Hoek van Holland, benoorden de Noorderdam","Dk1","ETRS89",51.998359,4.078138,4.078138,51.998359,"core","southern_and_central_north_sea"
6022,"hoekvanholland.km1029","Hoek van Holland, kilometer 1029","Hoek van Holland, kilometer 1029","ETRS89",51.970536,4.134197,4.134197,51.970536,"core","southern_and_central_north_sea"
7471,"hoekvanholland.lagelicht","Hoek van Holland, lage licht","Hoek van Holland, lage licht","ETRS89",51.981393,4.081434,4.081434,51.981393,"core","southern_and_central_north_sea"
5937,"hoekvanholland.maeslantkering","Hoek van Holland Maeslantkering","Hoek van Holland Maeslantkering","ETRS89",51.953999,4.160046,4.160046,51.953999,"outside_domain",
12115,"hoekvanholland.maeslantkering.beneden","Hoek van Holland Maeslantkering beneden","Hoek van Holland Maeslantkering beneden","ETRS89",51.956868,4.159313,4.159313,51.956868,"outside_domain",
8248,"hoekvanholland.maeslantkering.beneden.noord","Hoek van Holland, Maeslantkering, Beneden, noord","zeezijde","ETRS89",51.958239,4.161443,4.161443,51.958239,"outside_domain",
9184,"hoekvanholland.maeslantkering.boven","Hoek van Holland Maeslantkering boven","Hoek van Holland Maeslantkering boven","ETRS89",51.952915,4.16815,4.16815,51.952915,"outside_domain",
18170,"hoekvanholland.midden","Hoek van Holland, midden","Hoek van Holland, midden","ETRS89",51.977917,4.109973,4.109973,51.977917,"core","southern_and_central_north_sea"
2943,"hoekvanholland.noordoever","Hoek van Holland, noordoever","Hoek van Holland, noordoever","ETRS89",51.976573,4.110448,4.110448,51.976573,"core","southern_and_central_north_sea"
10161,"hoekvanholland.splitsingsdam","Hoek van Holland, splitsingsdam","Hoek van Holland, splitsingsdam","ETRS89",51.972365,4.116127,4.116127,51.972365,"core","southern_and_central_north_sea"
13194,"hoekvanhollandtotmonster.paal112tot118.nld2019","Hoek van Holland tot Monster, paal 112 tot 118, NLD2019","Hoek van Holland tot Monster, paal 112 tot 118, NLD2019","ETRS89",52.01134,4.10166,4.10166,52.01134,"core","southern_and_central_north_sea"
6992,"hoekvanholland.zuidoever","Hoek van Holland, zuidoever","Hoek van Holland, zuidoever","ETRS89",51.97928,4.11139,4.11139,51.97928,"core","southern_and_central_north_sea"
1181,"hofland","Hofland","Hofland","ETRS89",52.343552,5.093712,5.093712,52.343552,"core","southern_and_central_north_sea"
15127,"hogeknarsluis.hogevaart","Hoge Knarsluis, Hoge Vaart","Hoge Knarsluis, Hoge Vaart","ETRS89",52.384265,5.537022,5.537022,52.384265,"outside_domain",
10050,"hollandschdiep.10","Hollandsch Diep, 10","Hollandsch Diep, 10","ETRS89",51.69024,4.530161,4.530161,51.69024,"core","southern_and_central_north_sea"
15852,"hollandschdiep.11","Hollandsch Diep, 11","Hollandsch Diep, 11","ETRS89",51.690173,4.515005,4.515005,51.690173,"core","southern_and_central_north_sea"
672,"hollandschdiep.12","Hollandsch Diep, 12","Hollandsch Diep, 12","ETRS89",51.692226,4.499923,4.499923,51.692226,"core","southern_and_central_north_sea"
16103,"hollandschdiep.13","Hollandsch Diep, 13","Hollandsch Diep, 13","ETRS89",51.691174,4.48457,4.48457,51.691174,"core","southern_and_central_north_sea"
17433,"hollandschdiep.14","Hollandsch Diep, 14","Hollandsch Diep, 14","ETRS89",51.69232,4.468926,4.468926,51.69232,"core","southern_and_central_north_sea"
5969,"hollandschdiep.15","Hollandsch Diep, 15","Hollandsch Diep, 15","ETRS89",51.69562,4.455436,4.455436,51.69562,"core","southern_and_central_north_sea"
16791,"hollandschdiep.16","Hollandsch Diep, 16","Hollandsch Diep, 16","ETRS89",51.698495,4.441736,4.441736,51.698495,"core","southern_and_central_north_sea"
8168,"hollandschdiep.17","Hollandsch Diep, 17","Hollandsch Diep, 17","ETRS89",51.702271,4.428564,4.428564,51.702271,"core","southern_and_central_north_sea"
1633,"hollandschdiep.18","Hollandsch Diep, 18","Hollandsch Diep, 18","ETRS89",51.71436,4.42074,4.42074,51.71436,"core","southern_and_central_north_sea"
15398,"hollandschdiep.19","Hollandsch Diep, 19","Hollandsch Diep, 19","ETRS89",51.717564,4.40714,4.40714,51.717564,"core","southern_and_central_north_sea"
12647,"hollandschdiep.1.holldp01","Hollandsch Diep, 01, HOLLDP01","Hollandsch Diep, 01, HOLLDP01","ETRS89",51.697459,4.496537,4.496537,51.697459,"core","southern_and_central_north_sea"
16281,"hollandschdiep.1.holldp1","Hollandsch Diep, 1, HOLLDP1","Hollandsch Diep, 1, HOLLDP1","ETRS89",51.720847,4.641801,4.641801,51.720847,"outside_domain",
14128,"hollandschdiep.2.holldp02","Hollandsch Diep, 02, HOLLDP02","Hollandsch Diep, 02, HOLLDP02","ETRS89",51.693486,4.496572,4.496572,51.693486,"core","southern_and_central_north_sea"
4722,"hollandschdiep.2.holldp2","Hollandsch Diep, 2, HOLLDP2","Hollandsch Diep, 2, HOLLDP2","ETRS89",51.721359,4.637566,4.637566,51.721359,"core","southern_and_central_north_sea"
11499,"hollandschdiep.3","Hollandsch Diep, 3","Hollandsch Diep, 3","ETRS89",51.717975,4.621631,4.621631,51.717975,"core","southern_and_central_north_sea"
2136,"hollandschdiep.4","Hollandsch Diep, 4","Hollandsch Diep, 4","ETRS89",51.707558,4.613619,4.613619,51.707558,"core","southern_and_central_north_sea"
17323,"hollandschdiep.5","Hollandsch Diep, 5","Hollandsch Diep, 5","ETRS89",51.700468,4.603078,4.603078,51.700468,"core","southern_and_central_north_sea"
966,"hollandschdiep.6","Hollandsch Diep, 6","Hollandsch Diep, 6","ETRS89",51.695748,4.588421,4.588421,51.695748,"core","southern_and_central_north_sea"
4770,"hollandschdiep.7","Hollandsch Diep, 7","Hollandsch Diep, 7","ETRS89",51.69396,4.574148,4.574148,51.69396,"core","southern_and_central_north_sea"
5927,"hollandschdiep.8","Hollandsch Diep, 8","Hollandsch Diep, 8","ETRS89",51.692252,4.559932,4.559932,51.692252,"core","southern_and_central_north_sea"
13914,"hollandschdiep.9","Hollandsch Diep, 9","Hollandsch Diep, 9","ETRS89",51.691022,4.545043,4.545043,51.691022,"core","southern_and_central_north_sea"
15004,"hollandschdiep.midden","Hollandsch Diep, midden","Hollandsch Diep, midden","ETRS89",51.69964,4.564874,4.564874,51.69964,"core","southern_and_central_north_sea"
10893,"hollandschdiep.monddordtschekil.west","Hollandsch Diep, mond Dordtsche Kil, west","Hollandsch Diep, mond Dordtsche Kil, west","ETRS89",51.711725,4.606226,4.606226,51.711725,"core","southern_and_central_north_sea"
7307,"hollandschdiep.oost.1","Hollandsch Diep, oost, punt 1","Hollandsch Diep, oost, punt 1","ETRS89",51.713872,4.619617,4.619617,51.713872,"core","southern_and_central_north_sea"
7834,"hollandscheijssel.0","Hollandsche IJssel, 0","Hollandsche IJssel, 0","ETRS89",52.008971,4.726533,4.726533,52.008971,"outside_domain",
14033,"hollandscheijssel.1","Hollandsche IJssel, 1","Hollandsche IJssel, 1","ETRS89",52.006863,4.717782,4.717782,52.006863,"outside_domain",
74,"hollandscheijssel.10","Hollandsche IJssel, 10","Hollandsche IJssel, 10","ETRS89",51.960758,4.641021,4.641021,51.960758,"outside_domain",
287,"hollandscheijssel.11","Hollandsche IJssel, 11","Hollandsche IJssel, 11","ETRS89",51.952959,4.644308,4.644308,51.952959,"outside_domain",
