"filename","raw_relative_path","size_bytes","checksum_sha256","header_checksum_sha256","column_count","observation_rows","regular_field_count_rows","extra_location_description_rows","date_min_utc","date_max_utc","target_2000_2019_rows","outside_target_period_rows","meetobject_count","parameter_count","taxon_type_values","quantity_values","unit_values","compartment_values","organisation_values"
"RWSNL_Observations_FYTPT_DIATM_1.csv","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_1.csv",32034620,"8cbd8caa3f10f134776bbdbede356c4ce5a543f0021584cfc83bfd11f8e8ec72","c2d1b11e9d67c2f8ca9daea747e94efb7c97ff498a7d4e7a4daf7a40c7e2a1df",25,210900,210900,0,"2000-01-09T23:00:00Z","2025-09-02T10:00:00Z",196164,14736,40,1377,"DIATM|FYTPT","AANTFTE|AANTPVLME","N/L|N/ML|PROCENT","HY|KS|MN|OW","RWS"
"RWSNL_Observations_FYTPT_DIATM_2.csv","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_2.csv",9255804,"cb5af98c969419464f8fb91ab2d20c2dc1835a19702cdbb6bb844ecdcb515f9c","6998a68f21fc5a6047c8e8f6524fb619ec81becd80efce3b1baad491ab4d91e7",25,60723,60723,0,"2000-01-10T23:00:00Z","2025-09-02T10:00:00Z",53610,7113,21,1250,"DIATM|FYTPT","AANTFTE|AANTPVLME","N/L|N/ML|PROCENT","HY|KS|OW","RWS"
"RWSNL_Observations_FYTPT_DIATM_3.csv","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_3.csv",7259381,"d7fc1cefb887250bdbed9d3a5e06d58ba0430006646a587b1b9eee76c4466142","6998a68f21fc5a6047c8e8f6524fb619ec81becd80efce3b1baad491ab4d91e7",25,47758,47758,0,"2002-05-07T10:00:00Z","2025-02-12T13:38:30Z",34230,13528,37,1193,"DIATM|FYTPT","AANTFTE|AANTPVLME","N/ML|PROCENT","KS|OW","RWS"
"RWSNL_Observations_FYTPT_DIATM_4.csv","stage2/ds02_rws/RWSNL_Observations_FYTPT_DIATM_4.csv",28383275,"978d8986803d57284dfef0485ae2b451f3d7b127ed5edd8dc4d4eaff512c4e15","c2d1b11e9d67c2f8ca9daea747e94efb7c97ff498a7d4e7a4daf7a40c7e2a1df",25,186071,185966,105,"2000-01-09T23:00:00Z","2025-09-02T10:00:00Z",148528,37543,41,1487,"DIATM|FYTPT","AANTFTE|AANTPVLME","N/L|N/ML|PROCENT","HY|KS|MN|OW","RWS"
