"stage","count","generated_from","generated_utc"
"records_identified",29771,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
"duplicate_catalogue_or_query_records",1690,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
"unique_catalogue_records",28081,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
"unique_dataset_families",22550,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
"screened",28081,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
"excluded",19859,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
"pending",8221,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
"advanced_to_acquisition",1,"metadata/candidate_registry.csv and pinned raw response parsers","2026-08-08T17:01:36Z"
