"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state"
"DS02","Palaeophalacroma","","","","AANTPVLME","N/L",1,"no_match_key",0,,,"unmatched"
"DS02","Pandorina","","","","AANTPVLME","N/L",7,"reported_name_diagnostic_only",42,31,3185,"name_candidate_requires_worms_validation"
"DS02","Pandorina","","","","AANTPVLME","N/ML",22,"reported_name_diagnostic_only",42,31,3185,"name_candidate_requires_worms_validation"
"DS02","Pandorina morum","","","","AANTPVLME","N/L",31,"reported_name_diagnostic_only",42,31,3185,"name_candidate_requires_worms_validation"
"DS02","Pandorina morum","","","","AANTPVLME","N/ML",62,"reported_name_diagnostic_only",42,31,3185,"name_candidate_requires_worms_validation"
"DS02","Pannus","","","","AANTPVLME","N/ML",11,"reported_name_diagnostic_only",6,0.22,11,"name_candidate_requires_worms_validation"
"DS02","Pannus punctiferus","","","","AANTPVLME","N/ML",25,"no_match_key",0,,,"unmatched"
"DS02","Pannus spumosus","","","","AANTPVLME","N/ML",8,"reported_name_diagnostic_only",3,0.22,11,"name_candidate_requires_worms_validation"
"DS02","Pantocsekiella comensis","","","","AANTFTE","PROCENT",7,"no_match_key",0,,,"unmatched"
"DS02","Pantocsekiella costei","","","","AANTFTE","PROCENT",14,"no_match_key",0,,,"unmatched"
"DS02","Pantocsekiella ocellata","","","","AANTFTE","PROCENT",6,"no_match_key",0,,,"unmatched"
"DS02","Pantocsekiella ocellata","","","","AANTPVLME","N/ML",5,"no_match_key",0,,,"unmatched"
"DS02","Paradoxia multiseta","","","","AANTPVLME","N/L",4,"no_match_key",0,,,"unmatched"
"DS02","Paralia marina","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Paralia sulcata","","","","AANTFTE","PROCENT",13,"reported_name_diagnostic_only",1,197,197,"name_candidate_requires_worms_validation"
"DS02","Paralia sulcata","","","","AANTPVLME","N/L",5147,"reported_name_diagnostic_only",1,197,197,"name_candidate_requires_worms_validation"
"DS02","Paralia sulcata","","","","AANTPVLME","N/ML",14,"reported_name_diagnostic_only",1,197,197,"name_candidate_requires_worms_validation"
"DS02","Parlibellus","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Parlibellus berkeleyi","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Parlibellus calvus","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Parlibellus delognei","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Parlibellus delognei","","","","AANTPVLME","N/L",183,"no_match_key",0,,,"unmatched"
"DS02","Parlibellus delognei","","","","AANTPVLME","N/ML",1,"no_match_key",0,,,"unmatched"
"DS02","Parlibellus protracta","","","","AANTFTE","PROCENT",2,"no_match_key",0,,,"unmatched"
"DS02","Parlibellus protractoides","","","","AANTFTE","PROCENT",1,"no_match_key",0,,,"unmatched"
"DS02","Paulinella ovalis","","","","AANTPVLME","N/L",138,"no_match_key",0,,,"unmatched"
"DS02","Paulsenella chaetoceratis","","","","AANTPVLME","N/L",31,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum","","","","AANTPVLME","N/L",526,"reported_name_diagnostic_only",26,235,11950,"name_candidate_requires_worms_validation"
"DS02","Pediastrum","","","","AANTPVLME","N/ML",57,"reported_name_diagnostic_only",26,235,11950,"name_candidate_requires_worms_validation"
"DS02","Pediastrum alternans","","","","AANTPVLME","N/ML",5,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum","","","","AANTPVLME","N/L",20,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum","","","","AANTPVLME","N/ML",424,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum var. boryanum","","","","AANTPVLME","N/L",6,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum var. boryanum","","","","AANTPVLME","N/ML",65,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum var. brevicorne","","","","AANTPVLME","N/ML",2,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum var. cornutum","","","","AANTPVLME","N/ML",9,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum var. longicorne","","","","AANTPVLME","N/ML",19,"no_match_key",0,,,"unmatched"
"DS02","Pediastrum boryanum var. perforatum","","","","AANTPVLME","N/ML",3,"no_match_key",0,,,"unmatched"
