"ds_id","reported_taxon_name","reported_aphia_id","reported_size_class","reported_lifeforms","reported_measurement","reported_unit","source_row_count","match_route","peg_candidate_rows","peg_carbon_pg_min","peg_carbon_pg_max","conversion_match_state","accepted_aphia_id","accepted_name","accepted_rank","taxonomy_resolution_state","authority_candidate_rows","authority_match_route","candidate_carbon_pg_lower","candidate_carbon_pg_central","candidate_carbon_pg_upper","conversion_readiness_state"
"DS04","Chaetoceros wighamii",160524,,"diatom, phytoplankton, pelagic_diatoms","abundance","not_reported_in_plet_export",718,"reported_aphia_id",23,10,272,"multiple_size_or_stage_candidates","160524","Chaetoceros wighamii","Species","provider_aphia_id_validated_by_worms",23,"accepted_aphia_id",10,,272,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Chaetognatha",2081,,"holoplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","2081","Chaetognatha","Phylum","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Choanoflagellatea",580116,,"","abundance","not_reported_in_plet_export",721,"reported_aphia_id",0,,,"unmatched","580116","Choanoflagellatea","Class","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Chrysochromulina",115090,,"sm_phyto, phytoplankton","abundance","not_reported_in_plet_export",1105,"reported_aphia_id",6,3,119,"multiple_size_or_stage_candidates","115090","Chrysochromulina","Genus","provider_aphia_id_validated_by_worms",6,"accepted_aphia_id",3,,119,"not_ready_multiple_size_or_stage_authority_rows"
"DS04","Chrysophyceae",146230,,"phytoplankton","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","146230","Chrysophyceae","Class","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Cirripedia",1082,,"crustacean, meroplankton","abundance","not_reported_in_plet_export",763,"reported_aphia_id",0,,,"unmatched","1082","Cirripedia","Subclass","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Clione",137793,,"holoplankton, carniv_zoo","abundance","not_reported_in_plet_export",717,"reported_aphia_id",0,,,"unmatched","137793","Clione","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Clytemnestra",115273,,"crustacean","abundance","not_reported_in_plet_export",716,"reported_aphia_id",0,,,"unmatched","115273","Clytemnestra","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Clytemnestra scutellata",115805,,"","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","115805","Clytemnestra scutellata","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Clytia",117030,,"gelatinous, meroplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","117030","Clytia","Genus","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
"DS04","Clytia hemisphaerica",117368,,"gelatinous, meroplankton, carniv_zoo","abundance","not_reported_in_plet_export",715,"reported_aphia_id",0,,,"unmatched","117368","Clytia hemisphaerica","Species","provider_aphia_id_validated_by_worms",0,"accepted_aphia_id",,,,"not_ready_no_peg_authority_row"
