"input_route","requested_terms","returned_candidate_rows","provider_id_validated","exact_name_matches","fuzzy_candidates","unresolved"
"ds02_taxamatch_name",2127,2426,0,1863,247,47
"reported_aphia_id",1331,1331,1330,0,0,1
