"ds_id","monitoring_network","station_id","subregion_id","method_epoch","year","station_identity_state","first_date","last_date","sample_count","unique_sampling_days","median_gap_days","gap_p90_days","longest_gap_days"
"DS03","RWS_MWTL","BOOMKDP_surface","outside_or_invalid","unknown_not_harmonized",2020,"provider_station","2020-03-02","2020-09-16",14,14,17,20.6,22
"DS03","RWS_MWTL","BOOMKDP_surface","outside_or_invalid","unknown_not_harmonized",2021,"provider_station","2021-03-05","2021-09-17",14,14,16,21.6,23
"DS03","RWS_MWTL","BOOMKDP_surface","outside_or_invalid","unknown_not_harmonized",2022,"provider_station","2022-03-01","2022-09-09",14,14,14,19,21
"DS03","RWS_MWTL","BRIENOD_surface","outside_or_invalid","unknown_not_harmonized",2014,"provider_station","2014-04-09","2014-09-24",7,7,28,28,28
"DS03","RWS_MWTL","BRIENOD_surface","outside_or_invalid","unknown_not_harmonized",2015,"provider_station","2015-04-08","2015-09-23",7,7,28,28,28
"DS03","RWS_MWTL","BRIENOD_surface","outside_or_invalid","unknown_not_harmonized",2016,"provider_station","2016-04-06","2016-04-06",1,1,,,
"DS03","RWS_MWTL","BRIENOD_surface","outside_or_invalid","unknown_not_harmonized",2017,"provider_station","2017-04-05","2017-09-20",7,7,28,28.5,29
"DS03","RWS_MWTL","BRIENOD_surface","outside_or_invalid","unknown_not_harmonized",2018,"provider_station","2018-04-04","2018-09-19",7,7,28,28,28
"DS03","RWS_MWTL","BRIENOD_surface","outside_or_invalid","unknown_not_harmonized",2019,"provider_station","2019-04-03","2019-09-19",7,7,28,29.5,30
"DS03","RWS_MWTL","DANTZGT_pycnocline","southern_and_central_north_sea","unknown_not_harmonized",2022,"provider_station","2022-09-15","2022-09-15",1,1,,,
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1990,"provider_station","1990-04-04","1990-12-12",15,15,14.5,28,28
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1991,"provider_station","1991-01-16","1991-12-20",18,18,16,30.2,47
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1992,"provider_station","1992-01-21","1992-12-09",18,18,15,30.6,34
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1993,"provider_station","1993-01-21","1993-12-21",19,19,16.5,31.2,35
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1994,"provider_station","1994-01-26","1994-12-15",18,18,18,29.4,32
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1995,"provider_station","1995-01-16","1995-12-11",18,18,18,29.8,32
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1996,"provider_station","1996-03-05","1996-11-21",15,15,15.5,31.8,57
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1997,"provider_station","1997-01-30","1997-12-09",19,19,15,27.3,33
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1998,"provider_station","1998-01-06","1998-12-11",21,21,15.5,28.1,30
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",1999,"provider_station","1999-01-11","1999-12-17",21,21,15,29.1,30
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2000,"provider_station","2000-01-18","2000-12-20",21,21,15,28,33
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2001,"provider_station","2001-01-17","2001-12-11",21,21,15,19.9,30
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2002,"provider_station","2002-01-10","2002-12-12",21,21,14.5,27.2,30
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2003,"provider_station","2003-01-14","2003-12-15",21,21,14,22.7,34
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2004,"provider_station","2004-01-14","2004-12-06",21,21,15,20.5,36
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2005,"provider_station","2005-01-17","2005-12-09",21,21,15,21.7,29
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2006,"provider_station","2006-01-06","2006-12-12",21,21,15,28.3,35
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2007,"provider_station","2007-02-16","2007-12-12",19,19,14,22.3,35
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2008,"provider_station","2008-01-15","2008-12-12",19,19,15,31.5,38
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2009,"provider_station","2009-01-15","2009-12-16",21,21,17.5,21,32
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2010,"provider_station","2010-01-15","2010-12-13",18,18,15,35.6,42
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2011,"provider_station","2011-02-24","2011-09-05",13,13,14.5,18.8,39
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2012,"provider_station","2012-03-15","2012-10-09",14,14,15,24.2,26
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2013,"provider_station","2013-03-19","2013-10-11",14,14,14,18,31
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2014,"provider_station","2014-02-25","2014-09-17",14,14,15,17.8,27
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2015,"provider_station","2015-03-05","2015-09-18",14,14,15,22.4,25
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2016,"provider_station","2016-03-02","2016-09-13",14,14,15,18,19
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2017,"provider_station","2017-03-02","2017-09-14",13,13,15,17.7,34
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2018,"provider_station","2018-02-27","2018-09-18",14,14,15,21,23
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2019,"provider_station","2019-02-26","2019-09-20",14,14,15,17.8,22
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2020,"provider_station","2020-03-03","2020-09-10",13,13,15,17.9,30
"DS03","RWS_MWTL","DANTZGT_surface","southern_and_central_north_sea","unknown_not_harmonized",2021,"provider_station","2021-03-05","2021-09-14",14,14,14,17.8,20
