"ds_id","monitoring_network","independence_unit","duplicate_family","subregion_id","method_epoch","year","period_start","period_end","analysis_window","reference_tier","stage3_role","role_reason","stage5_compatibility_still_required","phy_c_inspected"
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2001,"2001-01-15","2001-12-13","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2001,"2001-01-15","2001-12-13","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2002,"2002-01-11","2002-12-12","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2002,"2002-01-11","2002-12-12","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2002,"2002-01-11","2002-12-12","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2002,"2002-01-11","2002-12-12","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2003,"2003-01-13","2003-12-11","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2003,"2003-01-13","2003-12-11","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2003,"2003-01-13","2003-12-11","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2003,"2003-01-13","2003-12-11","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2004,"2004-01-12","2004-12-09","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2004,"2004-01-12","2004-12-09","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2004,"2004-01-12","2004-12-09","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2004,"2004-01-12","2004-12-09","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2005,"2005-01-17","2005-12-15","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2005,"2005-01-17","2005-12-15","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2005,"2005-01-17","2005-12-15","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2005,"2005-01-17","2005-12-15","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2006,"2006-01-16","2006-12-14","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2006,"2006-01-16","2006-12-14","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2006,"2006-01-16","2006-12-14","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2006,"2006-01-16","2006-12-14","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2007,"2007-02-05","2007-12-13","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2007,"2007-02-05","2007-12-13","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2007,"2007-02-05","2007-12-13","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2007,"2007-02-05","2007-12-13","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2008,"2008-01-14","2008-12-11","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2008,"2008-01-14","2008-12-11","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2008,"2008-01-14","2008-12-11","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2008,"2008-01-14","2008-12-11","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2009,"2009-01-17","2009-12-10","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2009,"2009-01-17","2009-12-10","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2009,"2009-01-17","2009-12-10","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2009,"2009-01-17","2009-12-10","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2010,"2010-01-17","2010-12-07","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2010,"2010-01-17","2010-12-07","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2010,"2010-01-17","2010-12-07","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2010,"2010-01-17","2010-12-07","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2011,"2011-01-10","2011-12-16","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2011,"2011-01-10","2011-12-16","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2011,"2011-01-10","2011-12-16","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2011,"2011-01-10","2011-12-16","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2012,"2012-01-09","2012-12-22","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2012,"2012-01-09","2012-12-22","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2012,"2012-01-09","2012-12-22","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2012,"2012-01-09","2012-12-22","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2013,"2013-01-29","2013-12-18","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2013,"2013-01-29","2013-12-18","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2013,"2013-01-29","2013-12-18","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2013,"2013-01-29","2013-12-18","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2014,"2014-02-06","2014-12-08","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2014,"2014-02-06","2014-12-08","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2014,"2014-02-06","2014-12-08","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2014,"2014-02-06","2014-12-08","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2015,"2015-01-12","2015-12-11","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2015,"2015-01-12","2015-12-11","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2015,"2015-01-12","2015-12-11","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2015,"2015-01-12","2015-12-11","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2016,"2016-01-11","2016-12-12","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2016,"2016-01-11","2016-12-12","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2016,"2016-01-11","2016-12-12","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2016,"2016-01-11","2016-12-12","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2017,"2017-01-13","2017-12-19","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2017,"2017-01-13","2017-12-19","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2017,"2017-01-13","2017-12-19","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2017,"2017-01-13","2017-12-19","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2018,"2018-01-04","2018-12-19","daily","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2018,"2018-01-04","2018-12-19","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2018,"2018-01-04","2018-12-19","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2018,"2018-01-04","2018-12-19","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2019,"2019-01-07","2019-12-18","daily","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2019,"2019-01-07","2019-12-18","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2019,"2019-01-07","2019-12-18","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2019,"2019-01-07","2019-12-18","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2020,"2020-01-06","2020-12-16","daily","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2020,"2020-01-06","2020-12-16","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2020,"2020-01-06","2020-12-16","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2020,"2020-01-06","2020-12-16","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2021,"2021-01-08","2021-12-21","daily","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2021,"2021-01-08","2021-12-21","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2021,"2021-01-08","2021-12-21","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2021,"2021-01-08","2021-12-21","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2022,"2022-01-09","2022-12-19","daily","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2022,"2022-01-09","2022-12-19","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2022,"2022-01-09","2022-12-19","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2022,"2022-01-09","2022-12-19","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2023,"2023-01-02","2023-12-18","daily","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2023,"2023-01-02","2023-12-18","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2023,"2023-01-02","2023-12-18","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2023,"2023-01-02","2023-12-18","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2024,"2024-01-08","2024-12-15","daily","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2024,"2024-01-08","2024-12-15","3_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2024,"2024-01-08","2024-12-15","7_day","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","skagerrak_kattegat","unknown_not_harmonized",2024,"2024-01-08","2024-12-15","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","southern_and_central_north_sea","unknown_not_harmonized",2018,"2018-01-18","2018-12-12","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","southern_and_central_north_sea","unknown_not_harmonized",2018,"2018-01-18","2018-12-12","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","southern_and_central_north_sea","unknown_not_harmonized",2018,"2018-01-18","2018-12-12","7_day","A","unusable","cadence_does_not_support_7_day",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","southern_and_central_north_sea","unknown_not_harmonized",2018,"2018-01-18","2018-12-12","cadence_matched","A","eligible","primary_reference_candidate_with_supported_coverage_pending_stage5_compatibility",TRUE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","southern_and_central_north_sea","unknown_not_harmonized",2019,"2019-01-22","2019-12-17","daily","A","unusable","cadence_does_not_support_daily",FALSE,FALSE
"DS06","SMHI_SHARK","SMHI_SHARK","DS06","southern_and_central_north_sea","unknown_not_harmonized",2019,"2019-01-22","2019-12-17","3_day","A","unusable","cadence_does_not_support_3_day",FALSE,FALSE
