"metadata_id","biotaxon_code","biotaxon_description","compartment_code","compartment_description","unit_code","unit_description","quantity_code","quantity_description","condition_code","condition_description","organ_code","organ_description","parameter_code","parameter_description","reported_description","process_type","typing_code","value_processing_method_code","domain_location_present","explicit_marine_phytoplankton_signal","count_or_biovolume_signal"
1,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","50%_L","50 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 50 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
2,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","70%_L","70 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 70 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
3,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","80%_L","80 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 80 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
4,"NVT","NVT","OW","Oppervlaktewater","cm2","vierkante centimeter","90%_L","90 percentiel van de levendigheid","NVT","NVT","NVT","NVT","NVT","NVT","Percentielen per etmaal Levendigheid 90 percentiel van de levendigheid in Oppervlaktewater in cm2","meting","LEVDHD","other:%24H",TRUE,FALSE,FALSE
5,"Fulmarus glacialis","Fulmarus glacialis","OE","Organisme (biota)","DIMSLS","dimensieloos","AANTL","Aantal","NVT","NVT","MG","Maag","OSPAR_PLAIND","Plastic deeltjes, herkomst industrie (plastic granulaat)","Aantal Plastic deeltjes, herkomst industrie (plastic granulaat) in Organisme (biota) in Maag Fulmarus glacialis","meting","NVT","NVT",TRUE,FALSE,FALSE
6,"Fulmarus glacialis","Fulmarus glacialis","OE","Organisme (biota)","DIMSLS","dimensieloos","AANTL","Aantal","NVT","NVT","MG","Maag","OSPAR_PLAUSE","Plastic deeltjes, herkomst consument","Aantal Plastic deeltjes, herkomst consument in Organisme (biota) in Maag Fulmarus glacialis","meting","NVT","NVT",TRUE,FALSE,FALSE
7,"NVT","NVT","NT","Niet van toepassing","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in n","meting","NVT","NVT",TRUE,FALSE,FALSE
8,"Haematopus ostralegus","Haematopus ostralegus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","LS-EI","Levensstadium-Ei","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) Levensstadium-Ei in Haematopus ostralegus n","meting","NVT","NVT",TRUE,FALSE,FALSE
9,"Sterna hirundo","Sterna hirundo","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","LS-EI","Levensstadium-Ei","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) Levensstadium-Ei in Sterna hirundo n","meting","NVT","NVT",TRUE,FALSE,FALSE
10,"Littorina littorea","Littorina littorea","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Littorina littorea n","meting","NVT","NVT",TRUE,FALSE,FALSE
11,"Nassarius reticulatus","Nassarius reticulatus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Nassarius reticulatus n","meting","NVT","NVT",TRUE,FALSE,FALSE
12,"Nucella lapillus","Nucella lapillus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Nucella lapillus n","meting","NVT","NVT",TRUE,FALSE,FALSE
13,"Platichthys flesus","Platichthys flesus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Platichthys flesus n","meting","NVT","NVT",TRUE,FALSE,FALSE
14,"Rutilus rutilus","Rutilus rutilus","OE","Organisme (biota)","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Organisme (biota) in Rutilus rutilus n","meting","NVT","NVT",TRUE,FALSE,FALSE
15,"NVT","NVT","OW","Oppervlaktewater","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","BADGT","Badgast","Aantal Badgast in Oppervlaktewater in n","meting","NVT","NVT",TRUE,FALSE,FALSE
16,"Bithynia","Bithynia","OW","Oppervlaktewater","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Oppervlaktewater in Bithynia n","meting","NVT","NVT",FALSE,FALSE,FALSE
17,"Lymnaea stagnalis","Lymnaea stagnalis","OW","Oppervlaktewater","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Oppervlaktewater in Lymnaea stagnalis n","meting","NVT","NVT",FALSE,FALSE,FALSE
18,"Radix auricularia","Radix auricularia","OW","Oppervlaktewater","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Oppervlaktewater in Radix auricularia n","meting","NVT","NVT",FALSE,FALSE,FALSE
19,"Radix balthica","Radix balthica","OW","Oppervlaktewater","n","exemplaren","AANTL","Aantal","NVT","NVT","NVT","NVT","NVT","NVT","Aantal in Oppervlaktewater in Radix balthica n","meting","NVT","NVT",FALSE,FALSE,FALSE
20,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA001","Plastic van 4-pack of 6-pack","Aantal per lengte Plastic van 4-pack of 6-pack in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
21,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA002","Plastic (boodschappen)tas","Aantal per lengte Plastic (boodschappen)tas in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
22,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA003","Plastic zakje","Aantal per lengte Plastic zakje in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
23,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA004","Plastic drankfles","Aantal per lengte Plastic drankfles in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
24,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA005","Plastic fles of verpakking voor schoonmaakmiddelen","Aantal per lengte Plastic fles of verpakking voor schoonmaakmiddelen in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
25,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA006","Plastic fles of verpakking voor voedsel (SA0610 of SA0620)","Aantal per lengte Plastic fles of verpakking voor voedsel (SA0610 of SA0620) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
26,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA007","Plastic fles of verpakking voor toiletartikelen","Aantal per lengte Plastic fles of verpakking voor toiletartikelen in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
27,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA008","Plastic verpakking of olieton voor motorolie (< 50 cm)","Aantal per lengte Plastic verpakking of olieton voor motorolie (< 50 cm) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
28,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA009","Plastic verpakking of olieton voor motorolie (> 50 cm)","Aantal per lengte Plastic verpakking of olieton voor motorolie (> 50 cm) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
29,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA009","Plastic verpakking of olieton voor motorolie (> 50 cm)","afgeleid van n/km naar n/hm Aantal per lengte Plastic verpakking of olieton voor motorolie (> 50 cm) in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
30,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA010","Plastic jerrycan","Aantal per lengte Plastic jerrycan in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
31,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA010","Plastic jerrycan","afgeleid van n/km naar n/hm Aantal per lengte Plastic jerrycan in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
32,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA011","Plastic tube of patroon voor siliconenkit","Aantal per lengte Plastic tube of patroon voor siliconenkit in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
33,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA012","Ander plastic fles, vat of verpakking","Aantal per lengte Ander plastic fles, vat of verpakking in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
34,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA013","Kunststof krat","Aantal per lengte Kunststof krat in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
35,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA014","Kunststof auto onderdeel","Aantal per lengte Kunststof auto onderdeel in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
36,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA015","Kunststof dop of deksel","Aantal per lengte Kunststof dop of deksel in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
37,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA016","Aansteker","Aantal per lengte Aansteker in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
38,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA017","Pen","Aantal per lengte Pen in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
39,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA018","Kam of haarborstel","Aantal per lengte Kam of haarborstel in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
40,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA019","Chips- of snoepzak of lollystokje","Aantal per lengte Chips- of snoepzak of lollystokje in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
41,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA020","Kinderspeelgoed of party popper","Aantal per lengte Kinderspeelgoed of party popper in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
42,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA021","Plastic beker (SA0211 of SA0212)","Aantal per lengte Plastic beker (SA0211 of SA0212) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
43,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0211","Plastic beker_plastic","Aantal per lengte Plastic beker_plastic in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
44,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0212","Plastic beker_polystyreen","Aantal per lengte Plastic beker_polystyreen in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
45,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA022","Plastic bestek of dienblad of rietje","Aantal per lengte Plastic bestek of dienblad of rietje in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
46,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA023","Plastic zak voor kunstmest en dierenvoer","Aantal per lengte Plastic zak voor kunstmest en dierenvoer in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
47,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA024","Kunststof net of netzak voor fruit, groenten of mosselen","Aantal per lengte Kunststof net of netzak voor fruit, groenten of mosselen in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
48,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA025","Afwashandschoen","Aantal per lengte Afwashandschoen in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
49,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA026","Kunststof krabbenfuik of kreeftenfuik","Aantal per lengte Kunststof krabbenfuik of kreeftenfuik in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
50,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA027","Kunststof inktvisfuik","Aantal per lengte Kunststof inktvisfuik in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
51,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA028","Kunststof oesternet of mosselzak","Aantal per lengte Kunststof oesternet of mosselzak in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
52,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA029","Kunststof oesterkrat","Aantal per lengte Kunststof oesterkrat in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
53,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA030","Kunststof Tahitian (gebruikt in mosselkwekerijen)","Aantal per lengte Kunststof Tahitian (gebruikt in mosselkwekerijen) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
54,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA031","Kunststof touw (diameter > 1 cm)","Aantal per lengte Kunststof touw (diameter > 1 cm) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
55,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA031","Kunststof touw (diameter > 1 cm)","afgeleid van n/km naar n/hm Aantal per lengte Kunststof touw (diameter > 1 cm) in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
56,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA032","Kunststof touwtjes en koord (diameter < 1 cm) (SA0321/2)","Aantal per lengte Kunststof touwtjes en koord (diameter < 1 cm) (SA0321/2) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
57,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA032","Kunststof touwtjes en koord (diameter < 1 cm) (SA0321/2)","afgeleid van n/km naar n/hm Aantal per lengte Kunststof touwtjes en koord (diameter < 1 cm) (SA0321/2) in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
58,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0321","Kunststof draad/koord","Aantal per lengte Kunststof draad/koord in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
59,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0322","Visnetbeschermingstouw","Aantal per lengte Visnetbeschermingstouw in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
60,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA033","Kunststof verstrengelde netten, touw of koord (SA0331/2)","Aantal per lengte Kunststof verstrengelde netten, touw of koord (SA0331/2) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
61,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0331","Kunststof verstrengeld draad","Aantal per lengte Kunststof verstrengeld draad in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
62,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0332","Verstrengeld draad visnetbeschermingstouw","Aantal per lengte Verstrengeld draad visnetbeschermingstouw in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
63,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA034","Kunststof viskist (SA0341 of SA0342)","Aantal per lengte Kunststof viskist (SA0341 of SA0342) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
64,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA034","Kunststof viskist (SA0341 of SA0342)","afgeleid van n/km naar n/hm Aantal per lengte Kunststof viskist (SA0341 of SA0342) in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
65,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0341","Plastic viskist","Aantal per lengte Plastic viskist in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
66,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0342","Polystyreen viskist","Aantal per lengte Polystyreen viskist in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
67,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA035","Vislijn","Aantal per lengte Vislijn in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
68,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA036","Lichtgevend staafje (light stick)","Aantal per lengte Lichtgevend staafje (light stick) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
69,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA037","Kunststof drijver of boei","Aantal per lengte Kunststof drijver of boei in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
70,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA037","Kunststof drijver of boei","afgeleid van n/km naar n/hm Aantal per lengte Kunststof drijver of boei in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
71,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA038","Plastic emmer","Aantal per lengte Plastic emmer in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
72,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA039","Straps (spanbanden voor industriële verpakking)","Aantal per lengte Straps (spanbanden voor industriële verpakking) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
73,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA039","Straps (spanbanden voor industriële verpakking)","afgeleid van n/km naar n/hm Aantal per lengte Straps (spanbanden voor industriële verpakking) in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
74,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA040","Industriële kunststof verpakkingsmateriaal","Aantal per lengte Industriële kunststof verpakkingsmateriaal in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
75,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA040","Industriële kunststof verpakkingsmateriaal","afgeleid van n/km naar n/hm Aantal per lengte Industriële kunststof verpakkingsmateriaal in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
76,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA041","Glasvezel of polyester voorwerp","Aantal per lengte Glasvezel of polyester voorwerp in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
77,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA042","Veiligheidshelm","Aantal per lengte Veiligheidshelm in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
78,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA043","Patroon of munitiehuls","Aantal per lengte Patroon of munitiehuls in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
79,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA044","Plastic schoen of sandaal","Aantal per lengte Plastic schoen of sandaal in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
80,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA045","Stuk kunststof spons","Aantal per lengte Stuk kunststof spons in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
81,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA046","Stuk plastic of polystyreen 2,5 - 50 cm (SA0461 of SA0462)","Aantal per lengte Stuk plastic of polystyreen 2,5 - 50 cm (SA0461 of SA0462) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
82,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0461","Stuk plastic 2,5 - 50 cm","Aantal per lengte Stuk plastic 2,5 - 50 cm in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
83,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0462","Stuk polystyreen 2,5 - 50 cm","Aantal per lengte Stuk polystyreen 2,5 - 50 cm in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
84,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA047","Stuk plastic of polystyreen > 50 cm (SA0471 of SA0472)","Aantal per lengte Stuk plastic of polystyreen > 50 cm (SA0471 of SA0472) in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
85,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0471","Stuk plastic > 50 cm","Aantal per lengte Stuk plastic > 50 cm in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
86,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0472","Stuk polystyreen > 50 cm","Aantal per lengte Stuk polystyreen > 50 cm in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
87,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA048","Ander plastic of polystyreen voorwerp","Aantal per lengte Ander plastic of polystyreen voorwerp in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
88,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA048","Ander plastic of polystyreen voorwerp","afgeleid van n/km naar n/hm Aantal per lengte Ander plastic of polystyreen voorwerp in Oever in n/hm","meting","NVT","other:OSPAR_KM",FALSE,FALSE,FALSE
89,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA0481","Plastic Biofilm","Aantal per lengte Plastic Biofilm in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
90,"NVT","NVT","OR","Oever","n/hm","exemplaren per hectometer","AANTPLTE","Aantal per lengte","NVT","NVT","NVT","NVT","OSPAR_SA049","Ballon, inclusief ventiel, lint, touw etc.","Aantal per lengte Ballon, inclusief ventiel, lint, touw etc. in Oever in n/hm","meting","NVT","NVT",FALSE,FALSE,FALSE
