"file_name","raw_relative_path","source_rows","valid_coordinate_rows","valid_time_rows","chlorophyll_present_rows","qc_eligible_chlorophyll_rows","usable_secondary_rows","core_usable_rows","external_transfer_usable_rows","outside_domain_usable_rows","invalid_coordinate_usable_rows","first_datetime_utc","last_datetime_utc"
"HZG-Ferrybox_Cux-HarwNR8458.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8458.nc",5681,5681,5681,5681,5681,5681,5681,0,0,0,"2002-04-04T16:45:46Z","2002-04-05T08:32:54Z"
"HZG-Ferrybox_Harw-CuxNR8478.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8478.nc",5599,5599,5599,5599,5599,5599,5599,0,0,0,"2002-04-05T15:39:34Z","2002-04-06T07:21:35Z"
"HZG-Ferrybox_Cux-HarwNR8498.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8498.nc",5740,5740,5740,5740,5740,5740,5740,0,0,0,"2002-04-06T16:37:34Z","2002-04-07T08:34:04Z"
"HZG-Ferrybox_Harw-CuxNR8518.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8518.nc",5649,5649,5649,5649,5649,5649,5649,0,0,0,"2002-04-07T15:41:34Z","2002-04-08T07:22:54Z"
"HZG-Ferrybox_Cux-HarwNR8538.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8538.nc",1567,1567,1567,1567,1567,1567,1567,0,0,0,"2002-04-09T03:38:25Z","2002-04-09T08:35:16Z"
"HZG-Ferrybox_Cux-HarwNR8578.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8578.nc",5071,5071,5071,5071,5071,5071,5071,0,0,0,"2002-04-10T16:41:46Z","2002-04-11T08:32:24Z"
"HZG-Ferrybox_Harw-CuxNR8598.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8598.nc",4269,4269,4269,4269,4269,4269,4269,0,0,0,"2002-04-11T16:50:16Z","2002-04-12T08:25:34Z"
"HZG-Ferrybox_Cux-HarwNR8618.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8618.nc",5704,5704,5704,5704,5704,5704,5704,0,0,0,"2002-04-12T16:39:44Z","2002-04-13T08:33:54Z"
"HZG-Ferrybox_Harw-CuxNR8638.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Harw-CuxNR8638.nc",5743,5743,5743,5743,5743,5743,5743,0,0,0,"2002-04-13T15:29:24Z","2002-04-14T07:26:25Z"
"HZG-Ferrybox_Cux-HarwNR8658.nc","stage2/ds27_pangaea_ferrybox/DS27_PANGAEA_20260809T183210Z/HZG-Ferrybox_Cux-HarwNR8658.nc",5694,5694,5694,5694,5694,5694,5694,0,0,0,"2002-04-14T16:47:04Z","2002-04-15T08:35:55Z"
