"provider_taxon_id","scientific_name","occurrence_rows"
"10588","Mesocalanus tenuicornis",1215
"10596","Subeucalanus crassus",1181
"313","Mecynocera clausi",1172
"196","Pterosperma spp.",1162
"322","Temora stylifera",1159
"224","Tripos bucephalus",1158
"352","Euphausiacea",1157
"10593","Caprelloidea",1136
"412","Pleuromamma xiphias",1098
"8","Isias clavipes",1085
"353","Euphausiacea",1077
"1652","Codonellopsis spp.",1071
"357","Zoothamnium pelagicum",1064
"393","Euchaeta marina",1020
"1614","Clionidae ",990
"380","Centropages bradyi",974
"1612","Chaetoceros(Hyalochaete) spp.",973
"1629","Microsetella spp.",972
"1570","Neocalanus",964
"10675","grainy fried egg",936
"302","Calocalanus spp.",932
"634","Ptychocylis spp.",932
"10579","Pleuromamma V-VI (Trav)",929
"381","Centropages chierchiae",928
"148","Penilia avirostris",927
"1561","Neocalanus plumchrus",916
"10568","Decapod megalopa",883
"175","Leptocylindrus danicus",879
"10632","Dactyliosolen fragilissimus",861
"190","Stephanopyxis spp.",839
"10583","Other eyecount copepods",835
"468","Parasites of the plankton",816
"182","Rhizosolenia bergonii",782
"1623","Coscinodiscophyceae ",768
"1601","Dinophysis acuminata",749
"178","Rhaphoneis amphiceros",746
"10528","Filamentous algae (+)",737
"372","Anomalocera patersoni",707
"257","Podolampas spp.",704
"416","Scolecithrix danae",698
"471","Cephalopoda larvae",689
"467","Nematoda",685
"231","Ceratium gibberum",683
"10576","",677
"375","Candacia ethiopica",677
"370","Aetideus armatus",668
"1551","Centropages abdominalis",663
"10721","Plastic strand colour other (please specify)",662
"1679","Prorocentrum micans",651
"221","Ceratium arietinum",649
"10501","Spiniferites cysts",643
"10669","Small centric diatoms Total (Antarctic)",619
"180","Rhizosolenia acuminata",610
"1650","Acanthostomella norvegica",605
"10658","Calanus simillimus",604
"408","Heterorhabdus papilliger",604
"10601","Eucalanidae",587
"421","Undinula vulgaris",587
"10508","Acanthoica quattrospina",585
"1635","Fragilariopsis kerguelensis",583
"10544","Eutintinnus spp.",578
"10540","Codonella spp.",569
"1573","Neocalanus cristatus",567
"10715","Plastic strand clear/transparent",566
"10066","Siphonostomatoida",565
"10549","Rhabdonella spp.",565
"10512","Syracosphaera pulchra",544
"10550","Salpingella spp.",540
"407","Heterorhabdus norvegicus",523
"10644","Corethron spp",520
"10582","Euchaetidae I-IV (Trav)",516
"456","Isopoda",507
"1640","Thalassiothrix antarctica",499
"266","Cystodinium spp.",494
"156","Biddulphia alternans",493
"270","Favella serrata",489
"1604","Dinophysis norvegica",482
"464","Clio spp.",471
"10581","Euchaetidae V-VI (Trav)",469
"1627","Nitzschia bicapitata",465
"161","Odontella rhombus",463
"974","Fusopsis",462
"985","Alteutha spp.",462
